"Ramo              ";"Razao             ";"Endereco          ";"Bairro            ";"CEP               ";"Cidade            ";"UF                ";"Contato           ";"Funcionarios      ";"Telefone          ";"Fax               ";"Site              ";"E-mail            ";"Produtos          "
"ALIMENTICIA ";" DULCINI S/A. ";" Rod. Anhanguera, KM 123 ";" ";" 13465-970 ";" Americana ";" SP ";" Ger. Vendas: Marcelo Martins ";133;" (0xx19) 3471-1800 ";" (0xx19) 3471-1835 ";" www.dulcini.com.br ";" vendas@dulcini.com.br ";" Açúcar de cana; "
"ALIMENTICIA ";" GERBELLI IND. E COM. LTDA. ";" R. das Açácias, 1063 ";" Jd. São Paulo ";" 13468-150 ";" Americana ";" SP ";" Dir. Indl.: Geraldo Belline Junior ";10;" (0xx19) 3462-2269 ";" (0xx19) 3407-6306 ";" www.gerbelli.com.br ";" gerbelli@gerbelli.com.br ";" Lâminas p/ cortadores de frios; pentes e rolos p/ amaciadorde bifes; hélices p/ liquidificadores industriais e discos p/ preparadores de alimentos; "
"ALIMENTICIA ";" PADARIA E CONFEITARIA BISCOITAM LTDA. ";" Av. Armando Salles de Oliveira, 53 ";" Jd. Ipiranga ";" 13468-570 ";" Americana ";" SP ";" ";" ";" (0xx19) 3406-3522 ";" (0xx19) 3406-3522 ";" www.biscoitam.com.br ";" comercial@biscoitam.com.br ";" Amendoim; mini-pão de queijo; "
"TEXTIL E VESTUARIO ";" AIR SLAID TECIDOS TECS. LTDA ";" R. Juta, 257 ";" Dist. Indl. Abdo Naj ";" 13474-772 ";" Americana ";" SP ";" Dir. Coml.: Cristiano Luchesi ";35;" (0xx19) 3469-4411/4363 ";" (0xx19) 3469-4400 ";" www.airslaid.com.br ";" vendas@airslaid.com.br ";" Tecidos indis.; esteira filtrante; tecidos técnicos; fios indis.; elementos filtrantes; lona p/ filtro prensa. "
"TEXTIL E VESTUARIO ";" BELLAN IND. TÊXTIL LTDA. ";" Av. Carióba, 2.500-Salão 109 ";" Carióba ";" 13465-000 ";" Americana ";" SP ";" Dirª. Coml.: Morgana Bellan ";8;" (0xx19) 3406-4877 ";" (0xx19) 3406-4877 ";"  ";"  ";" Tecidos em geral. "
"TEXTIL E VESTUARIO ";" FAÉ FABRIL LTDA. ";" Av. Nossa S. de Fátima, 2.700 - Conj. 15 ";" Centro ";" 13478-540 ";" Americana ";" SP ";" Dir. Pres.: Carlos Frederico Faé ";" ";" (0xx19) 3468-2736 ";" (0xx19) 3468-3875 ";" www.faefabril.com.br ";" faefabril@faefabril.com.br ";" Retorcedeira chemille; máqs. p/ cartela de cores e fios;máq. fiação fantasia; "
"TEXTIL E VESTUARIO ";" GIULEN IND. TÊXTIL LTDA. ";" R. Cecim Abrão Elias, 56 ";" ";" 13477-234 ";" Americana ";" SP ";" Dir. Exec.: Léo Giuliani ";" ";" (0xx19) 3468-3422 ";" (0xx19) 3468-3676 ";" www.giulen.com.br ";" giulen@giulen.com.br ";" Tecidos planos(femininos e masculinos), rendas e importados; "
"TEXTIL E VESTUARIO ";" JOEL BERTIE & CIA LTDA. ";" R. Dr. Cândido Cruz, 288 ";" Vl. Heder ";" 13465-350 ";" Americana ";" SP ";" Dir. Coml.: Joel Bertie ";450;" (0xx19) 3461-1446 ";" (0xx19) 3462-2101 ";" www.joelbertie.com.br ";" jbertie@joelbertie.com.br ";" Tecidos p/ vestuário feminino e infantil; "
"TEXTIL E VESTUARIO ";" NELLA IND. TÊXTIL LTDA. ";" Av. José Meneguel, 265 ";" Vl. Industrial ";" 13465-000 ";" Americana ";" SP ";" Dir. Coml.: Sérgio Menin ";100;" (0xx19) 3471-1500/3468-1657 ";" (0xx19) 3471-1516/3468-2801 ";" www.nella.com.br ";"  ";" Tecidos de nylon p/pintura; "
"TEXTIL E VESTUARIO ";" NICOLETTI IND. TÊXTIL S/A. ";" Av. Unitika, 365 ";" Vl. Helena ";" 13477-260 ";" Americana ";" SP ";" Dir. Coml.: Celso Nicoletti ";130;" (0xx19) 3468-1292/1872/1474 ";" (0xx19) 3468-1292/1872 ";" www.nicoletti.com.br ";" nicoletti@nicolettitextil.com.br ";" Camisaria;chiffon; indigo; "
"TEXTIL E VESTUARIO ";" NOVA TEXTIL IND. E COM. DE TECIDOS LTDA. ";" R. Eugênio Bertine, 50/58 ";" ";" 13477-570 ";" Americana ";" SP ";" Dir. Coml.: Antony Guibert Martins ";" ";" (0xx19) 3478-9000 ";" (0xx19) 3468-1101 ";" www.novatextilmalhas.com.br ";" admin@novatextilmalhas.com.br ";" Malharia circular; "
"TEXTIL E VESTUARIO ";" PAULIMAQ IND. E COM. DE ETIQUETAS LTDA. ";" R. do Poliester, 28 ";" ";" 13474-764 ";" Americana ";" SP ";" Dir. Coml.: Douglas Demarchi ";" ";" (0xx19) 3469-9400 ";" (0xx19) 3469-9417 ";" www.paulimaq.com.br ";" paulimaq@paulimaq.com.br ";" Prods. p/ marcação, fixação de etiquetas;prods. p/ papelaria e informática; "
"TEXTIL E VESTUARIO ";" POLYENKA S/A. ";" Via Anhanguera, Km 129 ";" Pqe. Indl. ";" 13474-970 ";" Americana ";" SP ";" ";650;" (0xx19) 3471-5200 ";" (0xx19) 3469-1711 ";" www.polyenka.com.br ";" polyenka@polyenka.com.br ";" Pliéster; filamento têxtil; "
"TEXTIL E VESTUARIO ";" SOVRANA TÊXTIL LTDA. ";" Av. Armando Salles de Oliveira, 455/471 ";" ";" 13468-570 ";" Americana ";" SP ";" Cont. Coml.: Heloisa Oliveira ";" ";" (0xx19) 3461-3900 ";" (0xx19) 3406-7006 ";" www.sovrana.com.br ";" sovrana@sovrana.com.br ";" Amostras de estampas em papel transfer; malhas sintéticas; "
"TEXTIL E VESTUARIO ";" TÊXTIL FÁVERO LTDA. ";" R. José Grassi, 371 ";" São Luiz ";" 13477-560 ";" Americana ";" SP ";" Dir. Coml.: Moacir Fávero ";120;" (0xx19) 3478-9800/3468-3222 ";" (0xx19) 3468-1074 ";" www.textifavero.com.br ";" favero@textilfavero.com.br ";" Fibras sintéticas. "
"TEXTIL E VESTUARIO ";" TÊXTIL IRINEU MENEGHEL LTDA. ";" Av. José Meneghel, 1701 ";" Cidade Jardim ";" 13478-820 ";" Americana ";" SP ";" Dir. Coml.: José Vagner Meneghel ";40;" (0xx19) 3471-8800 ";" (0xx19) 3471-8815 ";" www.meneghel.com.br ";" meneghel@meneghel.com.br ";" Tecidos Shantung, Iona, curtilinho e rami estampado p/cortinas e forrações. "
"TEXTIL E VESTUARIO ";" TÊXTIL MACHADO MARQUES LTDA. ";" R. Fonte da Saudade, 1.000 ";" Jd. São Paulo ";" 13468-110 ";" Americana ";" SP ";" Dira. Coml.: Eliane Cimione ";250;" (0xx19) 3460-6867 ";" (0xx19) 3460-7759 ";"  ";"  ";" Tecidos de seda pura, javaneza lisa e estampads, chales lisoe estampado, lingerie p/camisaria. "
"TEXTIL E VESTUARIO ";" TECELAGEM JACYRA LTDA. ";" R. Bororós, 122 ";" Conserva ";" 13466-020 ";" Americana ";" SP ";" Dir. Coml.: Ivan Escuro ";270;" (0xx19) 3471-5001/3461-7552 ";" (0xx19) 3461-4638 ";" www.jacyra.com.br ";" compras@jacyra.com.br ";" Nylon, jacutel, nylon/algodão, javanesa mista, javanesa pura, chalis, cambraia. "
"TEXTIL E VESTUARIO ";" TECELAGEM LEONILDA LTDA. ";" R. Aimorés, 155 ";" Nova Americana ";" 13466-160 ";" Americana ";" SP ";" Dir. Coml.: Fabiano Di Grazia ";" ";" (0xx19) 3406-1131 ";" (0xx19) 3406-1131 ";" www.leonilda.com.br ";" sac@leonilda.com.br ";" Musseline; organsa; poliamida; poliéster; rendas; tecidos importados; viscose; "
"TEXTIL E VESTUARIO ";" TECELAGEM OYAPOC LTDA. ";" R. Guaranis, 154 ";" Nova Americana ";" 13465-000 ";" Americana ";" SP ";" Dir. Coml.: José Roberto Belleza de Castro ";15;" (0xx19) 3462-2500 ";" (0xx19) 3462-2744 ";" www.oyapoc.com.br ";" oyapoc@oyapoc.com.br ";" Tecidos de poliamida p/confecção de sombrinhas, guarda-chuvas, jaquetas, shorts, bolsas e p/sacolas. "
"TEXTIL E VESTUARIO ";" TRANSAMÉRICA TÊXTIL LTDA. ";" Av. Nossa S. de Fátima, 3120 - Salão 01 ";" Vl. Izabel ";" 13478-540 ";" Americana ";" SP ";" Cont. Coml.: Jorge/Fábio ";" ";" (0xx19) 3468-1227 ";" (0xx19) 3468-2116 ";" www.transamericatextil.com.br ";" transamerica@transamericatextil.com.br ";" Papel-transfer; "
"TEXTIL E VESTUARIO ";" XT INTERNACIONAL LTDA. ";" R. dos Antúrios, 301 ";" ";" 13466-610 ";" Americana ";" SP ";" Cont. Coml.: Francisco Sciorilli Junior ";" ";" (0xx19) 3461-3000/3406-3515 ";" (0xx19) 3461-3000 ";" www.xtinternacional.com.br ";" vendas@xtinternacional.com.br ";" Crepes estampados; cetim estampado; dobb georgete estampadoorganza estampado; "
"PLASTICOS ";" CELYG ETIQUETAS ADESIVAS LTDA. ";" Av. Rafael Vita, 1.045 ";" ";" 13471-000 ";" Americana ";" SP ";" ";" ";" (0xx19) 3407-7733/7744 ";" (0xx19) 3407-7733 ";"  ";"  ";" Adesivos; acetatos adesivos; decalques; "
"PLASTICOS ";" JARE EMBALAGENS LTDA. ";" R. das Hortências, 160 ";" Cidade Jardim ";" 13467-190 ";" Americana ";" SP ";" Ger. Geral: José Aparecido da Silva ";25;" (0xx19) 3461-7121/7071/7196 ";" (0xx19) 3461-7121 ";"  ";"  ";" Plásticos. "
"PLASTICOS ";" MARITEL IND. E COM. LTDA. ";" R. Caetés, 510 ";" Nova Americana ";" 13466-150 ";" Americana ";" SP ";" ";150;" (0xx19) 3405-9086 ";" (0xx19) 3405-9086 ";" www.maritel.com.br ";" maritel@maritel.com.br ";" Bonecas; brinquedos; figuras; bichos de pelúcia; "
"PLASTICOS ";" PAVAN ZANETTI IND. METALÚRGICA LTDA. ";" R. Timbiras, 383 ";" Vl. Galo ";" 13465-970 ";" Americana ";" SP ";" Dir. Coml.: Antônio Gumercindo Pavan ";180;" (0xx19) 3475-8500/3461-6367 ";" (0xx19) 3462-5099 ";" www.pavanzanetti.com.br ";" comercial@pavanzanetti.com.br ";" Extrusoras p/plásticos, injetoras p/plásticos, sopradoras, matrizes. "
"PLASTICOS ";" ROTOMEC ENG IND. E COM. LTDA. ";" R. do Carpinteiro, 162 ";" ";" 13478-730 ";" Americana ";" SP ";" ";" ";" (0xx19) 3468-4381 ";" (0xx19) 3478-2826 ";"  ";" rotomec@uol.com.br ";" Máquinas rotomoldadoras; máqs. de rotomoldagem; misturador contínuo p/ compostos; "
"MOVEIS E MADEIRA ";" DAUNE TRAVESSEIROS DE PENAS LTDA. ";" R. do Serralheiro, 1585 ";" ";" 13478-731 ";" Americana ";" SP ";" ";" ";" (0xx19) 3468-2434 ";" (0xx19) 3468-2434 ";" www.daune.com.br ";" daune@daune.com.br ";" Travesseiros; "
"MOVEIS E MADEIRA ";" EVEREST DISTRIBUIDORA DE AMERICANA LTDA. ";" Av. Cillos, 2536 ";" Jd. São José ";" 13467-000 ";" Americana ";" SP ";" Dir.: José Carlos de Azevedo ";" ";" (0xx19) 3462-1629 ";" (0xx19) 3462-1629 ";" www.everestdistribuidora.com.br ";" everest@everestdistribuidora.com.br ";" Rodízios moveleiros, indis e luxo; pés de alumínio; plásticos e madeira; ferragens; puxadores; parafusos e acessórios plásticos em geral; "
"MOVEIS E MADEIRA ";" MÓVEIS TUBOS LTDA. ";" R. das Nogueiras, 241 ";" Jd. São Paulo ";" 13468-200 ";" Americana ";" SP ";" Dir. Coml.: Severino Emirandetti ";16;" (0xx19) 3461-2076 ";" (0xx19) 3461-8134 ";"  ";"  ";" Cadeiras e mesas de fórmica, banquetas, mesas de centro p/tv. "
"TRANSPORTADORAS ";" TRANSPORTADORA AMERICANA LTDA. ";" Av. Comendador Thomaz Fortunato, 3.466 ";" Praia dos Namorados ";" 13475-010 ";" Americana ";" SP ";" Ger. Geral: Luiz Carlos Rosa ";1000;" (0xx19) 3471-9000/0800-12-9002 ";" (0xx19) 3471-9001 ";" www.transportadoraamericana.com.br ";"  ";" Transporte Rodoviário de Cargas. "
"EMPRESAS DIVERSAS ";" RÁDIO NOTÍCIA AMERICANA LTDA. ";" R. Rui Barbosa, 474 ";" ";" 13465-280 ";" Americana ";" SP ";" ";25;" (0xx19) 3461-7106 ";" (0xx19) 3461-7081 ";" www.noticiafm.com.br ";"  ";"  "
"SAÚDE ";" GREINE BIO-ONE BRASIL PRODS. MED. HOSP. LTDA. ";" Av. Afonso Pansan, 1967 ";" Vl. Bertin ";" 13473-620 ";" Americana ";" SP ";" Dir. Coml.: Haroldo Fontes ";" ";" (0xx19) 3468-9600 ";" (0xx19) 3468-9601 ";" www.vacuette.com.br ";" info@vacuette.com.br ";" Sistema plástico descartável para coleta de sangue. "
"MECANICA ";" AÇOPLAST IND. E COM. LTDA. ";" R. Suíça, 123 ";" Jd. Silvestre ";" 13905-050 ";" Amparo ";" SP ";" Dir. Coml.: Francisco José Gill ";320;" (0xx19) 3807-9843 ";" (0xx19) 3807-9843 ";" www.acoplast.com.br ";" rafael@acoplast.com.br ";" Filtros; juntas; estampagem; chapas ou telas de níquel microperfurados; "
"QUIMICA E FARMACEUTICA ";" QUÍMICA AMPARO LTDA. ";" Via SP-95, Km 43,6 ";" Figueira ";" 13900-000 ";" Amparo ";" SP ";" Dira. Coml.: Ana Maria V. Beira ";400;" (0xx19) 3808-8050/8039 ";" (0xx19) 3808-8111 ";" www.quimicaamparo.com.br ";" vendas@ype.ind.br ";" Sabão em pedra, glicerina indl. "
"ALIMENTICIA ";" IND. ALIMENTÍCIA VALE D'OURO LTDA. ";" Av. Carlos Burgos, 3.360 ";" Silvestre ";" 13905-000 ";" Amparo ";" SP ";" Dir. Coml.: João Leite ";370;" (0xx19) 3807-6655 ";" (0xx19) 3807-6655 ";"  ";"  ";" Biscoito de polvilho. "
"ALIMENTICIA ";" PRODS. ALIMENTÍCIOS Marchiori ";" Sitio Santa Luzia, S/Nº ";" Arcadas ";" 13908-000 ";" Amparo ";" SP ";" ";" ";" (0xx19) 3808-2299/3807-1944/1596 ";" (0xx19) 3808-2299 ";" www.marchiori.com.br ";" marchiori@marchiori.com.br ";" Salames; bistecas; mortandelas; defumados; linguinças; apresuntadas; "
"ALIMENTICIA ";" REBIERI GELATINAS LTDA. ";" R. Henrique Rebiere, s/nº ";" ";" 13908-900 ";" Amparo ";" SP ";" Dir. Adm. Fin.: Antônio Edilberto ";380;" (0xx19) 3807-1011 ";" (0xx19) 3807-1254 ";" www.rebiere.com.br ";"  ";" Alimentos; "
"TEXTIL E VESTUARIO ";" TÊXTIL TAPECOL S/A IND. E COM. ";" Via Estadual, 95 - Km 45 ";" Silvestre ";" 13904-800 ";" Amparo ";" SP ";" Dir. Coml.: Antônio Carlos Nardine ";200;" (0xx19) 3807-7511/9922 ";" (0xx19) 3807-5162/9927 ";" www.tapecol.com.br ";" sac@tapecol.com.br ";" Tecidos p/decorações de interiores, revestimento de móveis ecortinas. "
"CALCADOS ";" CIFA TÊXTIL LTDA. ";" R. Dr. Antonio de Oliv. Nóbrega, 154 ";" ";" 13902-900 ";" Amparo ";" SP ";" ";" ";" (0xx19) 3807-9733 ";" (0xx19) 3807-4601 ";"  ";"  ";" Matéria prima p/ ind. de calçados e artefs.; "
"COURO ";" IND. E COM. DE COUROS COQUEIROS LTDA ";" R. Benta Maria de Barros, 210 ";" Dist. de Arcadas ";" 13908-000 ";" Amparo ";" SP ";" Dir. Coml.: Jorge Luiz Calzapo ";12;" (0xx19) 3807-1310 ";" (0xx19) 3807-1307 ";"  ";"  ";" Artefs. de couro p/fiação e tecelagem, correias indis, virasp/calçados. "
"SAÚDE ";" IBRAMED IND. BRAS. DE EQUIPS. MÉDICOS LTDA. ";" R. Milão, 50 ";" Jd. Itália ";" 13901-070 ";" Amparo ";" SP ";" ";" ";" (0xx19) 3817-9633/3807-5294 ";" (0xx19) 3807-5294 ";" www.ibramed.com.br ";" ibramed@ibramed.com.br ";" Ultra som; sonopulse 3 mhz; "
"COURO ";" U.O DA COSTA IND. E COM. DE ARTEFS. DE COURO ";" Rua da Parabor, 589 ";" Guanabara ";" 67013-590 ";" Ananindeua ";" PA ";" Dir. Coml.: Ubaldo Ferreira da Rocha ";35;" (0xx91) 235-2525 ";" (0xx91) 235-2525 ";" www.bazdu.com.br ";" bazdu@supridados.com.br ";" Cintos e carteiras em couro; "
"CONSTRUCAO CIVIL ";" GARDESA BRASIL LTDA. ";" Dist. Indl. de Ananindeua, setor I, Cid. 3 -lote 3 ";" ";" 67035-330 ";" Ananindeua ";" PA ";" ";" ";" (0xx91) 4005-9707 ";" (0xx91) 4005-9707 ";" www.gardesa.com.br ";" gardesa@gardesa.com.br ";" Portas de segurança com abertura mecânica; painéis em lâminas nacionais ou importadas; painéis em machetaria; cofres; "
"QUIMICA E FARMACEUTICA ";" GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA. ";" Quadra 2A - Módulo 32/35 ";" Daia ";" 75133-600 ";" Anápolis ";" GO ";" Dir. Pres.: Dr. Eduardo Gonçaves ";" ";" (0xx62) 310-6400 ";" (0xx62) 310-6433 ";" www.greenpharma.com.br ";" suprimentos@greenpharma.com.br ";" Medicamentos; "
"QUIMICA E FARMACEUTICA ";" LABORATÓRIO NEO QUÍMICA COM. E IND. LTDA. ";" VPR 01- Quadra 2A - Módulo 4 ";" Daia ";" 75133-600 ";" Anápolis ";" GO ";" Dir. Pres.: Ildefonso Limírio Gonçalves ";" ";" (0xx62) 310-2506/0800 999900 ";" (0xx62) 310-2417 ";" www.neoquimica.com.br ";" neoquim@neoquimica.com.br ";" Medicamentos em embalagens hospitalares; "
"QUIMICA E FARMACEUTICA ";" LABORATÓRIO TEUTO BRASILEIRO S/A. ";" VP-7D Módulo 11 - Quadra 13 ";" Daia ";" 75133-600 ";" Anápolis ";" GO ";" Dir. Coml.: Adilmar Luiz de Souza ";" ";" (0xx62) 310-2000/2120 ";" (0xx62) 310-2005 ";" www.teuto.com.br ";" comercial@teuto.com.br ";" Medicamentos genéricos e similares das linhas hospitalares;OTC e de farmácias; "
"ALIMENTICIA ";" GRANOL IND. E COM. EXP. S/A. ";" Daia - Qd. 03 - Módulos 4,5 e 6 ";" Dist. Agro Indl. ";" 75133-600 ";" Anápolis ";" GO ";" Cont. Coml.: Sebastião Osmar Albertini ";1000;" (0xx62) 310-1233 ";" (0xx62) 316-1098 ";" www.granol.com.br ";" sosmar@granol.com.br ";" Óleos vegetais; farelo de soja moido ou paletizado; "
"PLASTICOS ";" EMBALO EMBALAGENS LÓGICAS. ";" Av. Daia, s/n - Qd. 08 - Box. 81 - Módulo 01 ";" Daia ";" 75133-600 ";" Anápolis ";" GO ";" Dir. Coml.: Nabil Jibrail Hanna ";" ";" (0xx62) 316-1066 ";" (0xx62) 316-1066 ";"  ";"  ";" Embalagens diversas. "
"CONSTRUCAO CIVIL ";" ISOESTE IND. E COM. DE ISOLANTES TÉRMICOS LTDA. ";" Qd. 08 - Módulo 14/16 ";" Dist. Indl Anápolis ";" 75133-600 ";" Anápolis ";" GO ";" Dir. Sócio: Alceu Forlin ";" ";" (0xx62) 316-1122 ";" (0xx62) 316-1234 ";" www.isoeste.com.br ";" isoeste@isoeste.com.br ";" Telhas térmicas; painéis térmicos; portas frigoríficas; salas limpas; lages em EPS e moldados; "
"ELETRO ELETRONICA ";" SAMARCO MINERAÇÃO S/A. ";" Rod. do Sol, s/nº ";" ";" 29230-000 ";" Anchieta ";" ES ";" Dir.: Nélio Rodrigues ";1100;" (0xx27) 3361-9000 ";" (0xx27) 3361-9480 ";" www.samarco.com.br ";" nelio@samarco.com.br ";" Minério de ferro; "
"CONSTRUCAO CIVIL ";" ICASA-IND. CERÂMICA ANDRADENSE S/A ";" Av. Ricarti Teixeira, 1.444 ";" ";" 37795-000 ";" Andradas ";" MG ";" ";" ";" (0xx35) 3731-8900 ";" (0xx35) 3731-1075 ";" www.icasa.com.br ";" icasa@icasa.com.br ";" Bacias; bidês; caixas p/ bacias; cubas; louças; mictórios; pias; tanques; "
"PLASTICOS ";" PLASTICITRO IND. E COM. DE EMBALAGENS LTDA. ";" R. Vinte e três, 490 ";" Conj. Habitacional ";" 16900-000 ";" Andradina ";" SP ";" Dir. Coml.: Wilson Citro ";40;" (0xx18) 3722-4466 ";" (0xx18) 3722-1836 ";"  ";"  ";" Plásticos. "
"PAPEL E CELULOSE ";" CITROPLAST IND. E COM. DE PAPÉIS E PLÁSTICOS LTDA. ";" Rodovia Euclides O. Figueiredo, Km 188 ";" ";" 16900-000 ";" Andradina ";" SP ";" Cont. Coml.: Tânia Sampaio ";" ";" (0xx18) 3702-7000 ";" (0xx18) 3702-7019 ";" www.citroplast.com.br ";" vendas@citroplast.com.br ";" Papel miolo; papel capa; papel test liner; "
